#1
#möchten; chcieć (tryb przypuszczający)
ich möchte; ja chciałbym
du möchtest; ty chciałbyś
er möchte; on chciałby
wir möchten; my chcielibyśmy
ihr möchtet; wy chcielibyście
sie möchten; oni chcieliby
#2
#sein; być (tryb przypuszczający)
ich waere; ja byłbym
du waerst; ty byłbyś
er waere; on byłby
wir waeren; my bylibyśmy
ihr waert; wy bylibyście
sie waeren; oni byliby
#3
#haben; mieć (czas przeszły)
ich hatte; ja miałem
du hattest; ty miałeś
er hatte; on miał
wir hatten; my mieliśmy
ihr hattet; wy mieliście
sie hatten; oni mieli
#4
#sollen; mieć powinność (czas przeszły)
ich sollte; ja powinienem
du solltest; ty powinieneś
er sollte; on powinien
wir sollten; my powinniśmy
ihr solltet; wy powinniście
sie sollten; oni powinni
ausserdem; poza tym
weil; bo
niemand; nikt
nett; miły
sollte; powinien
obwohl; chociaż
einige; kilka
schlechten;złe 
die Charaktereigenschaft; cecha charakteru
durchschnittlich; przeciętny
sondern; ale
jemand; ktoś
der; kto
unterscheidet sich; różni się
zugleich; jednocześnie
die Ausnahme; wyjątek
bilden; tworzyć
gemeinsame; wspólny
das Interesse; zainteresowanie
ausserdem; poza tym
humorvoll; zabawny
das Aussehen; wygląd
dagegen; przeciwko
gutaussehend; przystojny
