1 język;2 język;Liczba błędów
zufrieden;zadowolony|usatysfakcjonowany;11
es wird neu gedacht;jest na nowo przemyślane;8
verträumt;marzycielski|zamyślony;8
ein Licht entfachen;rozpalać światło|wzniecać iskrę;5
rutschen;zsuwać się|ślizgać;5
wir zeigen;pokażemy;5
der Haufen;kupka|warstwa|stos;4
erschaffen;tworzyć|stwarzać;4
es wird aufgeräumt;jest sprzątane;4
gefallen;podobać się;4
sie fliegen raus;wylatują na zewnątrz;4
am Ende;na końcu|ostatecznie;3
das Werkzeug dazu;narzędzie do tego;3
die Richtung zeigen;wskazywać kierunek;3
egal was du magst;niezależnie od tego co lubisz;3
ehrlich gesagt gedacht;szczerze mówiąc tak pomyślałem;3
entfachen;rozpalać|wzniecać;3
es hat gefallen;spodobało się;3
ich baue darauf auf;buduję na tym|opieram się na tym;3
klimpern;brzdąkać|dzwonić lekko;3
lassen;kazać|pozwalać;3
rauskam;wychodziłem|wydostałem się;3
sich etwas anhören;przysłuchiwać się czemuś uważnie;3
wirbeln;wirować|kręcić się;3
anhören;przysłuchiwać się;2
das Lied;pieśń|piosenka;2
das Neues;coś nowego;2
der Krach;hałas|zgiełk;2
der Wunsch;pragnienie|życzenie;2
die Bude hallt;przestrzeń rozbrzmiewa echem;2
doll;mocno|silnie (potoczne);2
donnern;grzmieć|huczeć;2
durch;przez|na wskroś|do końca;2
egal;obojętne|nieważne;2
erst Ziel;dopiero cel|najpierw cel;2
es bringt mehr Spaß;sprawia więcej radości|daje większą frajdę;2
es brummt;buczy|huczy|mruczy;2
es hallt;rozbrzmiewa echem;2
hüpfen;podskakiwać;2
leise;cicho|cichy;2
neu denken;przemyśleć na nowo|zdefiniować od nowa;2
tief in den Bauch;głęboko do brzucha;2
versuchen;próbować;2
zeigen;pokazywać|wskazywać;2
öffnen;otwierać;2
überall umher;wszędzie dookoła|we wszystkie strony;2
aufbauen;budować|opierać się na czymś;1
aufgeräumt;posprzątane|uprzątnięte;1
bis;do|aż;1
die Gläser;słoiki|szklanki;1
die Richtung;kierunek;1
durchgemixt;przemiksowane|wymieszane;1
ehrlich gesagt;szczerze mówiąc|prawdę powiedziawszy;1
er packt;to porywa|to chwyciło;1
erzeugen lassen;zlecić wytworzenie|kazać wygenerować;1
es klingt;brzmi|dźwięczy;1
es wird was Neues daraus;powstaje z tego coś nowego;1
ich erschaffe;tworzę;1
kreuz und quer;na krzyż i w poprzek|chaotycznie;1
schlucken;połykać|przełykać;1
springen;skakać;1
unendlich;nieskończony;1
verteilt;rozłożony|rozdzielony|rozdziela;1
wild;dziko|gwałtownie;1
