1 język;2 język;Liczba błędów
 ale;sondern;3
 on chciałby;er möchte;3
 przeciętny;durchschnittlich;3
 cecha charakteru;die Charaktereigenschaft;2
 on byłby;er waere;2
 przeciwko;dagegen;2
 przystojny;gutaussehend;2
 ty byłbyś;du waerst;2
 chociaż;obwohl;1
 nikt;niemand;1
 on miał;er hatte;1
 powinien;sollte;1
 poza tym;ausserdem;1
 wspólny;gemeinsame;1
 wy bylibyście;ihr waert;1
 wy mieliście;ihr hattet;1
 wyjątek;die Ausnahme;1
 zainteresowanie;das Interesse;1
złe;schlechten;1
