#Pojedyncze słowa
erzeugen;wytwarzać|generować
lassen;kazać|pozwalać
versuchen;próbować
gefallen;podobać się
bis;do|aż
dabei;przy tym|jednocześnie|mimo to
rauskam;wychodziłem|wydostałem się
es klingt;brzmi|dźwięczy
zeigen;pokazywać|wskazywać
wuseln;krzątać się|roić się|mrowić się
verteilt;rozłożony|rozdzielony|rozdziela
unendlich;nieskończony
hüpfen;podskakiwać
springen;skakać
wirbeln;wirować|kręcić się
wild;dziko|gwałtownie
donnern;grzmieć|huczeć
doll;mocno|silnie (potoczne)
klimpern;brzdąkać|dzwonić lekko
verträumt;marzycielski|zamyślony
es brummt;buczy|huczy|mruczy
aufgeräumt;posprzątane|uprzątnięte
anhören;przysłuchiwać się
neu denken;przemyśleć na nowo|zdefiniować od nowa
egal;obojętne|nieważne|obojętnie
der Wunsch;pragnienie|życzenie
leise;cicho|cichy
öffnen;otwierać
die Gläser;słoiki|szklanki
schlucken;połykać|przełykać
rutschen;zsuwać się|ślizgać
der Bauch;brzuch
durchgemixt;przemiksowane|wymieszane
das Bauchgefühl;przeczucie|intuicja
es hallt;rozbrzmiewa echem
es packt;chwyta|porywa emocjonalnie
durch;przez|na wskroś|do końca
erst;dopiero|najpierw
das Ziel;cel
die Richtung;kierunek
aufbauen;budować|opierać się na czymś
der Haufen;kupka|warstwa|stos
das Neues;coś nowego|nowości|nowe
entfachen;rozpalać|wzniecać
inspirieren;inspirować
erschaffen;tworzyć|stwarzać
gemeinsam;razem|wspólnie
allein;sam|samotny
nur;tylko|jedynie
das Lied;pieśń|piosenka
farblos;bezbarwny
der Krach;hałas|zgiełk
der Grund;fundament|powód
das Werkzeug;narzędzie|przyrząd
zufrieden;zadowolony|usatysfakcjonowany
der Spaß;radość|frajda|zabawa
ehrlich gesagt;szczerze mówiąc|prawdę powiedziawszy
#Pary i trójki słów
erzeugen lassen;zlecić wytworzenie|kazać wygenerować
es hat gefallen;spodobało się
am Ende;na końcu|ostatecznie|na koniec
wir zeigen;pokażemy
kreuz und quer;na krzyż i w poprzek|chaotycznie
überall umher;wszędzie dookoła|we wszystkie strony
es wird aufgeräumt;jest sprzątane
sich etwas anhören;przysłuchiwać się czemuś uważnie
es wird neu gedacht;jest na nowo przemyślane|przemyślane na nowo
egal was du magst;niezależnie od tego co lubisz|niezależnie co lubisz
sie fliegen raus;wylatują na zewnątrz|wylatują
tief in den Bauch;głęboko do brzucha
die Bude hallt;przestrzeń rozbrzmiewa echem
er packt;to porywa|to chwyciło
erst Ziel;dopiero cel|najpierw cel
die Richtung zeigen;wskazywać kierunek
ich baue darauf auf;buduję na tym|opieram się na tym
Haufen für Haufen;warstwa po warstwie|kupka za kupką
es wird was Neues daraus;powstaje z tego coś nowego
ein Licht entfachen;rozpalać światło|wzniecać iskrę|zaświecać światło
ich erschaffe;tworzę
farbloser Krach;bezbarwny hałas
das Werkzeug dazu;narzędzie do tego
es bringt mehr Spaß;sprawia więcej radości|daje większą frajdę|daje więcej radości
ich habe mir gedacht;tak sobie myślałem|doszedłem do takiego wniosku
ehrlich gesagt gedacht;szczerze mówiąc tak pomyślałem
